ALBUM_ID,ALBUM_NAME,ALBUM_RELEASE_DATE,ALBUM_COVER
1ycoesYxIFymXWebfmz828,Live From Clear Channel Stripped 2008,2008-06-28,https://i.scdn.co/image/ab67616d0000b273c031e8322b3e8684536ed6d0
11e4xCXllbvk8pWc1cCas1,Sweeter Than Fiction,2013-10-21,https://i.scdn.co/image/ab67616d0000b273a8d770d373f0bb3f0818526c
2njb3cHa1yhUMdu8PT2VhY,Live in No Shoes Nation,2017-10-27,https://i.scdn.co/image/ab67616d0000b2735853bd13dc296d8955d1243a
4vkDxA22dFzObjOY1nnXPk,Wildest Dreams (R3hab Remix),2015-01-01,https://i.scdn.co/image/ab67616d0000b273b8d01ff84dc531f884d90928
2Z2KdJE0nGGu0qdWA45mza,Love Story (Digital Dog Remix),2020-02-07,https://i.scdn.co/image/ab67616d0000b273c4d3acdcb5d53a2a3856786e
5MfAxS5zz8MlfROjGQVXhy,Speak Now,2010-10-25,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015
2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
3QXlUpSDgakWZK2WqQv0pF,Speak Now (Karaoke Version),2010-10-25,https://i.scdn.co/image/ab67616d0000b27366271168cb30f17767b1f410
4T5606j6qpkQrWlwbKPLOp,Ronan,2012-09-08,https://i.scdn.co/image/ab67616d0000b273dbe6e4dd1b2a61e375a12c63
7DphDayDRJ1NtRmveflFWD,Love Drunk,2009-09-07,https://i.scdn.co/image/ab67616d0000b27308a2b8e9210f518f6f4fbb8a
5Bwg2XxrjTlrNy6BC7KQZf,Carolina (From The Motion Picture “Where The Crawdads Sing”),2022-06-24,https://i.scdn.co/image/ab67616d0000b2732c683c1b9fa1b711499408f7
4CF0YV0iNyfKoDt9jHbGj7,Cornelia Street (Live From Paris),2020-05-18,https://i.scdn.co/image/ab67616d0000b273eec5bf14fcf7c92ec8166027
4qgs0gHJBgycj5SKqafFOB,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,2021-11-18,https://i.scdn.co/image/ab67616d0000b27370f88b5ee2da16d3f3929fea
3YbMxdapL6mvSQjosFkc0T,How Long Do You Think It's Gonna Last?,2021-08-27,https://i.scdn.co/image/ab67616d0000b273fbab613f887083f7ee11a1de
49yiYOnz2UyaNl72xvDERt,Renegade (Pop Version),2021-08-17,https://i.scdn.co/image/ab67616d0000b273f0b56f34301a37d015cbb678
396EJBtUzseofX2YCBJVvM,Women In Music Pt. III,2021-02-19,https://i.scdn.co/image/ab67616d0000b2731bff3b5284c581b83e918d19
1fc8tPf36cZhNYpNFrWh7o,Hannah Montana The Movie,2009-01-01,https://i.scdn.co/image/ab67616d0000b2730e8ba185f3e9f15630a7b5fb
6d8IUfMwq7HGCnR2efXjdm,Message In A Bottle (Fat Max G Remix) (Taylor’s Version),2022-01-21,https://i.scdn.co/image/ab67616d0000b273e53252ce47982a3d555a6b3b
6MMVrrxnNgGKg04ze1Pemw,The More Fearless (Taylor’s Version) Chapter,2021-04-09,https://i.scdn.co/image/ab67616d0000b2734beb2774135270cedfa28338
7vzYp7FrKnTRoktBYsx9SF,The Taylor Swift Holiday Collection,2008-12-02,https://i.scdn.co/image/ab67616d0000b2732a0face7d69df61c20a6db2b
2Xoteh7uEpea4TohMxjtaq,evermore,2020-12-11,https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be
6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
1w1zVWd1JmsqAgfCw117Ra,You Need To Calm Down (Live From Paris),2020-05-17,https://i.scdn.co/image/ab67616d0000b2738546aa90c89127a13f02c73d
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
5C41iVpK8HXCe3qlLL3I38,willow (90's trend remix),2021-06-14,https://i.scdn.co/image/ab67616d0000b27348ea2c0fbc6682c6d10d91aa
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de
6l7iXnb2Y4yDR9zag3kckA,The Man (Live From Paris),2020-02-18,https://i.scdn.co/image/ab67616d0000b2739a6d517fc78fb707bed067c2
6fyR4wBPwLHKcRtxgd4sGh,Speak Now World Tour Live,2010-10-25,https://i.scdn.co/image/ab67616d0000b273be4ec62353ee75fa11f6d6f7
2JK0T590oG0pJckY9HRniL,Today Was A Fairytale,2010-01-01,https://i.scdn.co/image/ab67616d0000b27393b047c75268dd2847187910
5sZIjREu3s225wwqJkgsYV,You're Not Sorry (CSI Remix),2020-02-07,https://i.scdn.co/image/ab67616d0000b273e8ae61ef7ff5c29b9f84828f
1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2023-05-26,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0
1iab5rfjNpGhoPlFzPyp4k,Love Story (Pop Mix),2020-02-07,https://i.scdn.co/image/ab67616d0000b273d676631cbb331a320db57b64
5LyzI39gkePgpHz38bEQIr,Lavender Haze (Remixes),2023-03-03,https://i.scdn.co/image/ab67616d0000b273f7c84273e5c8ecb7594b4357
5lIglDJlPaEoqVl2hhi3O0,Christmas Tree Farm (Recorded Live at the 2019 iHeartRadio Jingle Ball),2020-12-19,https://i.scdn.co/image/ab67616d0000b273052249de01e68c82c8cf0858
1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918
2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
0vkAczpFKCazPKaoLtnBr0,The Joker And The Queen (feat. Taylor Swift),2022-02-11,https://i.scdn.co/image/ab67616d0000b27389aff4625958eac8d16535c7
6S6JQWzUrJVcJLK4fi74Fw,Speak Now (Deluxe Package),2010-01-01,https://i.scdn.co/image/ab67616d0000b273e1bc852a04501952c765d5cd
6Ou4LWiU2Vu2V7KdHzw9At,Lover (First Dance Remix),2019-11-26,https://i.scdn.co/image/ab67616d0000b273affd87a5167957a7adbf8e37
