TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,2902442864,1431089
1p80LdxRV74UKvL8gnD7ky,2091579145,765438
55n9yjI6qqXh5F2mYvUc2y,1892798727,713353
0V3wPSX9ygBnCm8psDIegu,1835934086,636402
1dGr1c8CrMLDpV6mPbImSI,1761594642,812313
4R2kfaDFhslZEMJqAFNpdd,1647647873,841092
5xTtaWoae3wi06K5WfVUUH,1633696541,637244
3hUxzQpSfdDqwM3ZTFQY0K,1462730219,842380
4lIxdJw6W3Fg4vUIYCB0S5,1393675234,620281
1R0a2iXumgCiFb7HEZ7gUE,1391969829,674317
1P17dC1amhFzptugyAO7Il,1315548549,502161
6NFyWDv5CjfwuzoCkw47Xf,1155375314,481746
59HjlYCeBsxdI0fcm3zglw,1067131565,274081
6RRNNciQGZEXnqk8SQ9yv5,1055931760,286812
5enxwA8aAbwZbf5qCHORXi,1025221917,454497
1vrd6UOGamcKNGnSHJQlSt,998538710,309439
6YvqWjhGD8mB5QXcbcUKtx,992646714,617490
0lx2cLdOt3piJbcaXIV74f,986260191,317696
2o2IVjuqRkR9hJxtPjtAP0,958237233,328165
2Rk4JlNc2TPmZe2af99d45,930578507,198227
2OzhQlSqBEmt7hmkYxfT6m,928290025,818209
7KokYm8cMIXCsGVmUvKtqf,922834849,311589
3RauEVgRgj1IuWdJ9fDs70,921503623,315891
5lg33MHs1BoUtJVClw8ZpI,918038204,280676
4pvb0WLRcMtbPGmtejJJ6y,911101047,453844
1K39ty6o1sHwwlZwO6a7wK,892650585,420229
1qrpoAMXodY6895hGKoUpA,891026205,678059
2yLa0QULdQr0qAIvVwN6B5,890219401,405833
5jQI2r1RdgtuT8S3iG8zFC,821052877,241594
0VE4kBnHJUgtMf0dy6DRmW,786350013,408252
3rWDp9tBPQR9z6U5YyRSK4,772105802,265942
4y5bvROuBDPr5fuwXbIBZR,753464660,273203
0sY6ZUTh4yoctD8VIXz339,739994331,256827
4D7BCuvgdJlYvlX5WlN54t,733360204,368730
0VwNdo84DaVYLIkbVO86ND,731060999,177745
3GCL1PydwsLodcpv0Ll1ch,723306893,254081
1MgV7FIyNxIG7WzMRJV5HC,680099742,546364
1ZY1PqizIl78geGM4xWlEA,679695178,243112
0Jlcvv8IykzHaSmj49uNW8,674259100,253248
273dCMFseLcVsoSWx59IoE,667716450,169824
4q5YezDOIPcoLr8R81x9qy,660498122,616023
3qoftcUZaUOncvIYjFSPdE,645286187,240793
2x0WlnmfG39ZuDmstl9xfX,564571289,212109
3eX0NZfLtGzoLUxPNvRfqm,541216590,223916
1fzAuUVbzlhZ1lJAx9PtY6,539930156,565889
2NmsngXHeC1GQ9wWrzhOMf,529346788,282776
1Iq8oo9XkmmvCQiGOfORiz,524614334,269556
4svZDCRz4cJoneBpjpx8DJ,519733115,230655
0ZNU020wNYvgW84iljPkPP,503628117,227130
22bPsP2jCgbLUvh82U0Z3M,498154623,277545
7kt9e9LFSpN1zQtYEl19o1,491345829,285239
1GwMQaZz6Au3QLDbjbMdme,485335432,255072
3pHkh7d0lzM2AldUtz2x37,484407138,266599
1wtOxkiel43cVs0Yux5Q4h,483360765,123786
214nt20w5wOxJnY462klLw,481899312,241213
1xwAWUI6Dj0WGC3KiUPN0O,473811303,157913
6AtZLIzUINvExIUy4QhdjP,457130974,259093
1SymEzIT3H8UZfibCs3TYi,453169262,204530
6VsvKPJ4xjVNKpI8VVZ3SV,448446054,216211
3DrjZArsPsoqbLzUZZV1Id,438176332,133901
17yraMKqmZIKAv3iaGcoLX,435192190,166646
2F3N9tdombb64aW6VtZOdo,434252527,327398
5YqltLsjdqFtvqE7Nrysvs,431901644,210640
0W0iAC1VGlB82PI6elxFYf,427907879,523514
2P5gfMtCcKP0CkmgqFMyPg,427280350,106849
2CYVETnhM9aytqrazYYwrK,427082330,157114
3zwMVvkBe2qIKDObWgXw4N,418830047,263624
2Eeur20xVqfUoM3Q7EFPFt,417136427,133856
5kI4eCXXzyuIUXjQra0Cxi,417100402,139932
3sW3oSbzsfecv9XoUdGs7h,416228276,351618
6oVxXO5oQ4pTpO8RSnkzvv,416147715,252182
7FmYn9e7KHMXcxqGSj9LjH,414665634,156357
7qGr3rjRhndRIpFUA5f2HJ,408611727,179419
12M5uqx0ZuwkpLp5rJim1a,397046613,177551
77sMIMlNaSURUAXq5coCxE,396916499,266471
1LLXZFeAHK9R4xUramtUKw,390288518,158151
0PurA4JVJ8YQgSVopY8fn6,386917851,159399
5KD6AEm19QnMbfWpfoOHMl,379695048,254490
43rA71bccXFGD4C8GOpIlN,378438673,104618
71BqAINEnezjQfxE4VuJfq,378006178,264730
6KJqZcs9XDgVck7Lg9QOTC,366302044,140438
3yII7UwgLF6K5zW3xad3MP,362480145,204264
36t6frENUtCYKuZus6aYDO,359562060,307871
4OAuvHryIVv4kMDNSLuPt6,354425928,272011
3Vevii7qKqrmW8CcyzBHDl,349904931,305501
1hjRhYpWyqDpPahmSlUTlc,344719169,381309
0A1JLUlkZkp2EFrosoNQi0,340469036,175479
5OndtwLGA9O6XHFcGm2H7r,340336637,42079
2VuqMjgoKaOHNM8HpxtXKx,337819426,154308
0heeNYlwOGuUSe7TgUD27B,336373439,98148
2dgFqt3w9xIQRjhPtwNk3D,335043796,121413
2XXwLdtuAcE0HSCu61ijAb,330992329,290561
5BK0uqwY9DNfZ630STAEaq,330635208,99985
0wavGRldH0AWyu2zvTz8zb,328236749,127501
4txojlesMFQZGWxwz2EeqB,324358174,155832
3nsfB1vus2qaloUdcBZvDu,323861510,168235
7HuBDWi18s4aJM8UFnNheH,321337622,169632
3RaT22zZsxVYxxKR7TAaYF,320091588,107974
2YWtcWi3a83pdEg3Gif4Pd,318533206,106826
3CWq0pAKKTWb0K4yiglDc4,315199511,223489
3i9UVldZOE0aD0JnyfAZZ0,313740759,61112
5og4Qzt92jJzVDkOtSEilb,312652642,257422
7dW84mWkdWE5a6lFWxJCBG,311196167,89574
5QVVjX0ZItqlVpEuVCM9Yg,308188916,184195
5kHMfzgLZP95O9NBy0ku4v,306948401,141706
45wMBGri1PORPjM9PwFfrS,304589041,304955
0qAIiGFKLdV1xpNlEhjpq8,300313355,52907
7I7JbDv63ZJJsSi24DyJrz,297710610,150545
5hQSXkFgbxjZo9uCwd11so,294430380,139151
3Z1kZKYfRC8iRXnYeC5sCJ,291973555,60806
7Mts0OfPorF4iwOomvfqn1,281771004,379889
3ZVFcD8Wlw9T9klGqmJf9F,276753408,239964
2v1ivOOsgn64g5OywuH55L,276677521,253408
3NMrVbIVWT3fPXBj0rNDKG,276442779,216920
12ntTeqEeTg7GAVpe8Mhpl,275116109,138841
4V9NuhKQcUFt4cgbynHV79,271564509,47155
6qnM0XXPZOINWA778uNqQ9,266216233,43749
6RSG1dKPV5gEvILwJb4QtS,265272689,278614
01K4zKU104LyJ8gMb7227B,265003599,119081
3O5osWf1rSoKMwe6E9ZaXP,263333377,111739
4wFUdSCer8bdQsrp1M90sa,261924560,84544
00vJzaoxM3Eja1doBUhX0P,260937847,32416
19CSr8rwW05VJL2F91KFNK,259017273,90696
07NxDD1iKCHbAldceD7QLP,257419610,107394
79uDOz0zuuWS7HWxzMmTa2,255898395,171070
4CkgMiMqZ5JzW9iYXSTMTL,252543651,111674
2QDyYdZyhlP2fp79KZX8Bi,248767264,88006
0z9UVN8VBHJ9HdfYsOuuNf,246307648,37715
5rcHBt2aNcGFWW0jaAUe1L,245590143,35838
4NioO5R9sHEZh4cGzMHyNt,245446572,175949
7MbT4I8qGntX4fMdqMQgke,244221388,87111
3xYJScVfxByb61dYHTwiby,243781618,185000
4zmKGsrXjLmljb5fTaBTot,243397026,151109
7eGeUVeCEvEQrivmjl9Qn3,242710946,77483
7F5oktn5YOsR9eR5YsFtqb,238659364,110563
6FmJKLpyCt42nP2IOVEVc2,237063223,37095
4mKye6Z1kXuKolzMkJoKFA,237034655,8320
3z6XUommYDWPHeFhmhhT6j,236273758,138946
7G0gBu6nLdhFDPRLc0HdDG,235863177,163750
2o2sgVJIgFXk8GQjWTgI6U,232376597,94060
32mVHdy0bi1XKgr0ajsBlG,229404880,94558
0dAb8TY433dl3ZfXYCLE19,228250432,21882
1XjHRolIXL2M1EEOUsGGR4,227476813,97411
1dhMTsEZz6ZEquGvmzVoHn,223478780,203022
71CBDRKmF2VeRKYMG1DFBh,221648184,102556
73YUReisjb3A9ActdLLjJQ,219779940,77488
6MWoRt97mnSTXZhu3ggi9C,219402507,83327
5tWxKWq1DSP1s9WQ5PWuqu,218122924,92823
5PxFv9yJEg9dxvbZggykro,217574880,111052
08fa9LFcFBTcilB3iq2e2A,213489307,71828
0hhzNPE68LWLfgZwdpxVdR,213041628,322702
3k7ne7VmH43ZPWxPdvPUgR,211294126,75874
2ythurkTtSiyfK7GprJoFW,208549078,41287
6xsEAm6w9oMQYYg3jkEkMT,207476513,67398
6N1K5OVVCopBjGViHs2IvP,206873917,62268
670fUmXf4KQekzbEgaXyPA,206312214,79885
6pYNq0ZwpPVazKzsqpf0G8,204652824,90116
18WFFUIsewmA8g31KAeo3e,204183813,248259
06WgOCf0LV2h4keYXDRnuh,204151259,22033
