ALBUM_ID,ALBUM_NAME,ALBUM_RELEASE_DATE,ALBUM_COVER
7vzYp7FrKnTRoktBYsx9SF,The Taylor Swift Holiday Collection,2008-12-02,https://i.scdn.co/image/ab67616d0000b2732a0face7d69df61c20a6db2b
59YCk9wEnWWopdzu4Yh1dJ,"Beautiful Ghosts (From The Motion Picture ""Cats"")",2019-11-15,https://i.scdn.co/image/ab67616d0000b273c81d7a321a00c1e04df060b8
1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),2020-08-18,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233
40cMfQDrBCDmOaWZuNEmKq,the lakes (original version),2021-07-24,https://i.scdn.co/image/ab67616d0000b2737d60bda8f85d66599c3fe851
396EJBtUzseofX2YCBJVvM,Women In Music Pt. III,2021-02-19,https://i.scdn.co/image/ab67616d0000b2731bff3b5284c581b83e918d19
1qEs8XpGGduMUF7jfAs5l3,The More Red (Taylor’s Version) Chapter,2021-11-12,https://i.scdn.co/image/ab67616d0000b273e508c5f5080d8a6c9db576df
1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a
2Z2KdJE0nGGu0qdWA45mza,Love Story (Digital Dog Remix),2020-02-07,https://i.scdn.co/image/ab67616d0000b273c4d3acdcb5d53a2a3856786e
14Qw496KH0xlLEmWZ0faJj,...Ready For It? (BloodPop® Remix),2017-12-01,https://i.scdn.co/image/ab67616d0000b2737d343309258e82158dcc6eff
6XwuAKBpEvtsJAWs3J3DJe,Message In A Bottle (Fat Max G Remix) (Taylor’s Version),2022-01-21,https://i.scdn.co/image/ab67616d0000b2738e8a8116af61b15659648588
5Mc6uebYtKnRc5I7bjlNB6,First Two Pages of Frankenstein,2023-04-28,https://i.scdn.co/image/ab67616d0000b273364c819937072957a9220847
2A1msASmUbUdaZyeOxpbAD,The Archer (Live From Paris),2020-05-17,https://i.scdn.co/image/ab67616d0000b273cde19bd5377f06eb0bca3256
6tHLalOVUNJYJlNYkRlNjC,ME! (feat. Brendon Urie of Panic! At The Disco),2019-04-26,https://i.scdn.co/image/ab67616d0000b2738be68887668e2fee0149e207
1O3BsjGx9plSOJ036ZY4Fl,Two Lanes Of Freedom,2013-01-01,https://i.scdn.co/image/ab67616d0000b27393b8a33577c83e2463eec47b
2njb3cHa1yhUMdu8PT2VhY,Live in No Shoes Nation,2017-10-27,https://i.scdn.co/image/ab67616d0000b2735853bd13dc296d8955d1243a
2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
63lVCnv8B30qedCiTlAc9J,Red (Karaoke Version),2012-10-22,https://i.scdn.co/image/ab67616d0000b273f38d22516eda9a650c00ad4a
1fc8tPf36cZhNYpNFrWh7o,Hannah Montana The Movie,2009-01-01,https://i.scdn.co/image/ab67616d0000b2730e8ba185f3e9f15630a7b5fb
5MxXY7DbFMUiHFTPUabgJJ,I Don’t Wanna Live Forever (Fifty Shades Darker),2016-12-09,https://i.scdn.co/image/ab67616d0000b2732ae921f082ae5db4d3da818f
45fMDoh9dhhQicddIZzhKM,...Ready For It? (BloodPop® Remix),2017-12-01,https://i.scdn.co/image/ab67616d0000b273d41ccf8f43721c045a969300
6eKdbTio5viiwJ5FE5J8wU,Lavender Haze (Acoustic Version),2023-03-31,https://i.scdn.co/image/ab67616d0000b273f233c37dddd971caf61515cf
2UfvnX1YYeC2cExMQTMbXC,Lover (Remix) [feat. Shawn Mendes],2019-11-13,https://i.scdn.co/image/ab67616d0000b27359457bdb1edb5c6417f3baa2
5q3jthpn2h59P7pe2gmAl7,You're Losing Me (From The Vault),2023-11-29,https://i.scdn.co/image/ab67616d0000b2734fe1868aa6838eb595f3673a
4T5606j6qpkQrWlwbKPLOp,Ronan,2012-09-08,https://i.scdn.co/image/ab67616d0000b273dbe6e4dd1b2a61e375a12c63
4qgs0gHJBgycj5SKqafFOB,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,2021-11-18,https://i.scdn.co/image/ab67616d0000b27370f88b5ee2da16d3f3929fea
5jmVg7rwRcgd6ARPAeYNSm,evermore,2020-12-10,https://i.scdn.co/image/ab67616d0000b27325751b4b32829d6bbfe6be7f
5h060Rb0cfAGuny0L51zqV,Lavender Haze (Felix Jaehn Remix),2023-02-10,https://i.scdn.co/image/ab67616d0000b27390212229c9230e320fe0ecd3
0PZ7lAru5FDFHuirTkWe9Z,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,https://i.scdn.co/image/ab67616d0000b273045514e3ed4e1767a7c3ece5
6WzAiEDGTU7KmEyGwLpBXB,willow (the witch collection),2020-12-16,https://i.scdn.co/image/ab67616d0000b2738312c50a6b9046d7dea5de12
1w1zVWd1JmsqAgfCw117Ra,You Need To Calm Down (Live From Paris),2020-05-17,https://i.scdn.co/image/ab67616d0000b2738546aa90c89127a13f02c73d
74utZeTCeaXy01BjOddyv8,Spotify Singles,2018-04-13,https://i.scdn.co/image/ab67616d0000b273bae8f095c58e137855f6d230
2Xoteh7uEpea4TohMxjtaq,evermore,2020-12-11,https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be
5nDpkszadFMGW6ZSYM9Q1V,Death By A Thousand Cuts (Live From Paris),2020-05-17,https://i.scdn.co/image/ab67616d0000b2737864c044d3fa4ac3814ca667
7hvsmGyWH2kJS5X4E4t039,Lover (Live From Paris),2020-05-17,https://i.scdn.co/image/ab67616d0000b273d29b148f84d0cd04ebdbe919
7qqCw47pAWFzhwTpVRd0zE,Strange Clouds,2012-04-27,https://i.scdn.co/image/ab67616d0000b273a191830c8b300bc71c2faac7
75N0Z60SNMQbAPYZuxKgWd,Speak Now (Big Machine Radio Release Special),2010-10-25,https://i.scdn.co/image/ab67616d0000b2730ac2865a6b8b6ffecf85ce7d
0ICJdYOVS6YkyouaWvt47i,Call It What You Want,2017-11-03,https://i.scdn.co/image/ab67616d0000b2737680064ad5b180593b3658af
1rwH2628RIOVM3WMwwO418,Fearless,2008-01-01,https://i.scdn.co/image/ab67616d0000b2735ab4f806b1126caf63492fc5
0WGakTFs8cnggcYsHjIhgy,ME!,2019-04-26,https://i.scdn.co/image/ab67616d0000b27351e4bcd72f4d8c30111f5a4b
1KlU96Hw9nlvqpBPlSqcTV,Red (Deluxe Edition),2012-10-22,https://i.scdn.co/image/ab67616d0000b273a7613d346501b828b56a0bc3
531nfs5NPsmkRC1LJb1cdj,You Need To Calm Down (Clean Bandit Remix),2019-08-20,https://i.scdn.co/image/ab67616d0000b2739911942b4845c29ad3ad1224
6AeF9IkXFpHz5H3wUNX3L3,Eyes Open (Taylor's Version),2021-11-12,https://i.scdn.co/image/ab67616d0000b273d5cc403148a5161b4561cf61
6d8IUfMwq7HGCnR2efXjdm,Message In A Bottle (Fat Max G Remix) (Taylor’s Version),2022-01-21,https://i.scdn.co/image/ab67616d0000b273e53252ce47982a3d555a6b3b
6IZm7NfvWyXp952VF36Z5F,If This Was A Movie (Taylor’s Version),2021-04-09,https://i.scdn.co/image/ab67616d0000b273afe932e498abc159219bd2f3
2dqn5yOQWdyGwOpOIi9O4x,Fearless,2008-11-11,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
2rU7u7C2v5i45MFVxx7xG1,Taylor Swift (Big Machine Radio Release Special),2006-10-24,https://i.scdn.co/image/ab67616d0000b27378de0096f5395323490185e6
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa
7HEXQkjBNiZilJcTWXwLOA,Delicate (Sawyr And Ryan Tedder Mix),2018-05-25,https://i.scdn.co/image/ab67616d0000b273d8032a149cd86c879c9df63a
2JK0T590oG0pJckY9HRniL,Today Was A Fairytale,2010-01-01,https://i.scdn.co/image/ab67616d0000b27393b047c75268dd2847187910
6tnr0khD5AaIXzNbmqHsKx,Babe (feat. Taylor Swift),2018-04-20,https://i.scdn.co/image/ab67616d0000b273a486a4638d9583a3fb66e7ce
7gU675c7KZ54MzEcL1O3px,Delicate (Seeb Remix),2018-06-08,https://i.scdn.co/image/ab67616d0000b2737809d9723e21370fe5926a7c
5JnnrTE35MQagEnEkFthiF,Christmas Tree Farm,2019-12-06,https://i.scdn.co/image/ab67616d0000b273b550071a3fa8e03f6a83f313
5Bwg2XxrjTlrNy6BC7KQZf,Carolina (From The Motion Picture “Where The Crawdads Sing”),2022-06-24,https://i.scdn.co/image/ab67616d0000b2732c683c1b9fa1b711499408f7
1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918
27cx8eVCV4xMwJEYJNl1nw,folklore: the yeah I showed up at your party chapter,2020-09-21,https://i.scdn.co/image/ab67616d0000b273d7004b0da78a8aefa965ca55
2qLi0Q8fs8YLSDH5WbE8Vc,Music from the 3D Concert Experience,2009-01-01,https://i.scdn.co/image/ab67616d0000b2735e0f4b509e71ef57a82ccc3e
1MHuZZrGT36cXLxAQ5cLP3,Taylor Swift Karaoke: reputation,2018-03-09,https://i.scdn.co/image/ab67616d0000b27305fd6906725e3f12544c2d04
5LGsh3kexUfi3qkIIxb8vK,Only The Young (Featured in Miss Americana),2020-01-31,https://i.scdn.co/image/ab67616d0000b2734aa13f6de271d8403a82e4a8
5MfAxS5zz8MlfROjGQVXhy,Speak Now,2010-10-25,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015
4CF0YV0iNyfKoDt9jHbGj7,Cornelia Street (Live From Paris),2020-05-18,https://i.scdn.co/image/ab67616d0000b273eec5bf14fcf7c92ec8166027
4r9fXZWP29khOI8WaHtsgA,...Ready For It?,2017-09-03,https://i.scdn.co/image/ab67616d0000b2736d8d80daf86adc5dcf8a80bc
6fyR4wBPwLHKcRtxgd4sGh,Speak Now World Tour Live,2010-10-25,https://i.scdn.co/image/ab67616d0000b273be4ec62353ee75fa11f6d6f7
5hxKw2PurC0i1VVJMAntDU,Wildest Dreams (Taylor's Version),2021-09-17,https://i.scdn.co/image/ab67616d0000b273eb10050f6fe8e2783a91a4b1
2mmpvWHLrUjSu5PN763rUu,The Archer,2019-07-23,https://i.scdn.co/image/ab67616d0000b273d7b465adc58ab58a12f2e3a0
4jTYApZPMapg56gRycOn0D,Red (Big Machine Radio Release Special),2012-10-22,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec
6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6
7DphDayDRJ1NtRmveflFWD,Love Drunk,2009-09-07,https://i.scdn.co/image/ab67616d0000b27308a2b8e9210f518f6f4fbb8a
1ycoesYxIFymXWebfmz828,Live From Clear Channel Stripped 2008,2008-06-28,https://i.scdn.co/image/ab67616d0000b273c031e8322b3e8684536ed6d0
1jIp7CChnwdj9zUCvPxzQ7,ME! (Live From Paris),2020-05-17,https://i.scdn.co/image/ab67616d0000b273d8f29c3584e77996dd2f9950
4vkDxA22dFzObjOY1nnXPk,Wildest Dreams (R3hab Remix),2015-01-01,https://i.scdn.co/image/ab67616d0000b273b8d01ff84dc531f884d90928
5fy0X0JmZRZnVa2UEicIOl,1989,2014-01-01,https://i.scdn.co/image/ab67616d0000b273b7e976d2b35c767f9012cb72
2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
45nqVXRAW0xv0wpU9JljPN,The Hunger Games: Songs From District 12 And Beyond,2012-01-01,https://i.scdn.co/image/ab67616d0000b273d29a5d713277b0b3d517507b
1Uauz6ql2dIPvIOH4JiuhD,All Of The Girls You Loved Before,2019-08-23,https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17
6FeANe1ewmN6sY0VY0qfyI,The Hunger Games: Songs From District 12 And Beyond,2012-01-01,https://i.scdn.co/image/ab67616d0000b2739c351de6861e801c1b679d53
6Ou4LWiU2Vu2V7KdHzw9At,Lover (First Dance Remix),2019-11-26,https://i.scdn.co/image/ab67616d0000b273affd87a5167957a7adbf8e37
