ALBUM_ID_FILTERED,ALBUM_NAME_FILTERED,ALBUM_RELEASE_DATE_FILTERED,ALBUM_COVER_FILTERED
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,10/24/2006,https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c
2dqn5yOQWdyGwOpOIi9O4x,Fearless,11/11/2008,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
5MfAxS5zz8MlfROjGQVXhy,Speak Now,10/25/2010,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015
4jTYApZPMapg56gRycOn0D,Red,10/22/2012,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec
2QJmrSgbdM35R67eoGQo4j,1989,10/27/2014,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
4R3hKmiJWEjRe6l03DoV9t,1989,10/27/2014,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
34OkZVpuzBa9y40DCy0LPR,1989,10/27/2014,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
6DEjYFkNZh67HP7R9PSZvv,Reputation,11/10/2017,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
1NAmidJlEaVgA3MpcPFYGq,Lover,8/23/2019,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
2fenSS68JI1h4Fo296JfGr,Folklore,7/24/2020,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
1pzvBxYgT6OVwJLtHkrdQK,Folklore,7/24/2020,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
0PZ7lAru5FDFHuirTkWe9Z,Folklore,7/24/2020,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
2Xoteh7uEpea4TohMxjtaq,Evermore,12/11/2020,https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be
6AORtDjduMM3bupSWzbTSG,Evermore,12/11/2020,https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),4/9/2021,https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de
6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),11/12/2021,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d
151w1FgRZfnKZA9FEcg9Z3,Midnights,10/21/2022,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
1fnJ7k0bllNfL1kVdNVW1A,Midnights,10/21/2022,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
3lS1y25WAhcqJDATJK70Mq,Midnights,10/21/2022,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),7/7/2023,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),10/26/2023,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version),10/26/2023,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
1d8W5sDOh6xY7y6UYp2rcg,THE TORTURED POETS DEPARTMENT,4/19/2024,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b
5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT,4/19/2024,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b
3f6e4wXxxi4ahqWsSU7OpT,THE TORTURED POETS DEPARTMENT,4/19/2024,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,4/19/2024,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b
