Date,Week,Month,Quarter
01-01-24,1,1,1
01-02-24,1,1,1
01-03-24,1,1,1
01-04-24,1,1,1
01-05-24,2,1,1
01-06-24,2,1,1
01-07-24,2,1,1
01-08-24,2,1,1
01-09-24,2,1,1
01-10-24,2,1,1
01-11-24,2,1,1
01-12-24,3,1,1
1/13/2024,3,1,1
1/14/2024,3,1,1
1/15/2024,3,1,1
1/16/2024,3,1,1
1/17/2024,3,1,1
1/18/2024,3,1,1
1/19/2024,4,1,1
1/20/2024,4,1,1
1/21/2024,4,1,1
1/22/2024,4,1,1
1/23/2024,4,1,1
1/24/2024,4,1,1
1/25/2024,4,1,1
1/26/2024,5,1,1
1/27/2024,5,1,1
1/28/2024,5,1,1
1/29/2024,5,1,1
1/30/2024,5,1,1
1/31/2024,5,1,1
02-01-24,5,2,1
02-02-24,6,2,1
02-03-24,6,2,1
02-04-24,6,2,1
02-05-24,6,2,1
02-06-24,6,2,1
02-07-24,6,2,1
02-08-24,6,2,1
02-09-24,7,2,1
02-10-24,7,2,1
02-11-24,7,2,1
02-12-24,7,2,1
2/13/2024,7,2,1
2/14/2024,7,2,1
2/15/2024,7,2,1
2/16/2024,8,2,1
2/17/2024,8,2,1
2/18/2024,8,2,1
2/19/2024,8,2,1
2/20/2024,8,2,1
2/21/2024,8,2,1
2/22/2024,8,2,1
2/23/2024,9,2,1
2/24/2024,9,2,1
2/25/2024,9,2,1
2/26/2024,9,2,1
2/27/2024,9,2,1
2/28/2024,9,2,1
2/29/2024,9,2,1
03-01-24,10,3,1
03-02-24,10,3,1
03-03-24,10,3,1
03-04-24,10,3,1
03-05-24,10,3,1
03-06-24,10,3,1
03-07-24,10,3,1
03-08-24,11,3,1
03-09-24,11,3,1
03-10-24,11,3,1
03-11-24,11,3,1
03-12-24,11,3,1
3/13/2024,11,3,1
3/14/2024,11,3,1
3/15/2024,12,3,1
3/16/2024,12,3,1
3/17/2024,12,3,1
3/18/2024,12,3,1
3/19/2024,12,3,1
3/20/2024,12,3,1
3/21/2024,12,3,1
3/22/2024,13,3,1
3/23/2024,13,3,1
3/24/2024,13,3,1
3/25/2024,13,3,1
3/26/2024,13,3,1
3/27/2024,13,3,1
3/28/2024,13,3,1
3/29/2024,14,3,1
3/30/2024,14,3,1
3/31/2024,14,3,1
04-01-24,14,4,2
04-02-24,14,4,2
04-03-24,14,4,2
04-04-24,14,4,2
04-05-24,15,4,2
04-06-24,15,4,2
04-07-24,15,4,2
04-08-24,15,4,2
04-09-24,15,4,2
04-10-24,15,4,2
04-11-24,15,4,2
04-12-24,16,4,2
4/13/2024,16,4,2
4/14/2024,16,4,2
4/15/2024,16,4,2
4/16/2024,16,4,2
4/17/2024,16,4,2
4/18/2024,16,4,2
4/19/2024,17,4,2
4/20/2024,17,4,2
4/21/2024,17,4,2
4/22/2024,17,4,2
4/23/2024,17,4,2
4/24/2024,17,4,2
4/25/2024,17,4,2
4/26/2024,18,4,2
4/27/2024,18,4,2
4/28/2024,18,4,2
4/29/2024,18,4,2
4/30/2024,18,4,2
05-01-24,18,5,2
05-02-24,18,5,2
05-03-24,19,5,2
05-04-24,19,5,2
05-05-24,19,5,2
05-06-24,19,5,2
05-07-24,19,5,2
05-08-24,19,5,2
05-09-24,19,5,2
05-10-24,20,5,2
05-11-24,20,5,2
05-12-24,20,5,2
5/13/2024,20,5,2
5/14/2024,20,5,2
5/15/2024,20,5,2
5/16/2024,20,5,2
5/17/2024,21,5,2
5/18/2024,21,5,2
5/19/2024,21,5,2
5/20/2024,21,5,2
5/21/2024,21,5,2
5/22/2024,21,5,2
5/23/2024,21,5,2
5/24/2024,22,5,2
5/25/2024,22,5,2
5/26/2024,22,5,2
5/27/2024,22,5,2
5/28/2024,22,5,2
5/29/2024,22,5,2
5/30/2024,22,5,2
5/31/2024,23,5,2
06-01-24,23,6,2
06-02-24,23,6,2
06-03-24,23,6,2
06-04-24,23,6,2
06-05-24,23,6,2
06-06-24,23,6,2
06-07-24,24,6,2
06-08-24,24,6,2
06-09-24,24,6,2
06-10-24,24,6,2
06-11-24,24,6,2
06-12-24,24,6,2
6/13/2024,24,6,2
6/14/2024,25,6,2
6/15/2024,25,6,2
6/16/2024,25,6,2
6/17/2024,25,6,2
6/18/2024,25,6,2
6/19/2024,25,6,2
6/20/2024,25,6,2
6/21/2024,26,6,2
6/22/2024,26,6,2
6/23/2024,26,6,2
6/24/2024,26,6,2
6/25/2024,26,6,2
6/26/2024,26,6,2
6/27/2024,26,6,2
6/28/2024,27,6,2
6/29/2024,27,6,2
6/30/2024,27,6,2
07-01-24,27,7,3
07-02-24,27,7,3
07-03-24,27,7,3
07-04-24,27,7,3
07-05-24,28,7,3
07-06-24,28,7,3
07-07-24,28,7,3
07-08-24,28,7,3
07-09-24,28,7,3
07-10-24,28,7,3
07-11-24,28,7,3
07-12-24,29,7,3
7/13/2024,29,7,3
7/14/2024,29,7,3
7/15/2024,29,7,3
7/16/2024,29,7,3
7/17/2024,29,7,3
7/18/2024,29,7,3
7/19/2024,30,7,3
7/20/2024,30,7,3
7/21/2024,30,7,3
7/22/2024,30,7,3
7/23/2024,30,7,3
7/24/2024,30,7,3
7/25/2024,30,7,3
7/26/2024,31,7,3
7/27/2024,31,7,3
7/28/2024,31,7,3
7/29/2024,31,7,3
7/30/2024,31,7,3
7/31/2024,31,7,3
08-01-24,31,8,3
08-02-24,32,8,3
08-03-24,32,8,3
08-04-24,32,8,3
08-05-24,32,8,3
08-06-24,32,8,3
08-07-24,32,8,3
08-08-24,32,8,3
08-09-24,33,8,3
08-10-24,33,8,3
08-11-24,33,8,3
08-12-24,33,8,3
8/13/2024,33,8,3
8/14/2024,33,8,3
8/15/2024,33,8,3
8/16/2024,34,8,3
8/17/2024,34,8,3
8/18/2024,34,8,3
8/19/2024,34,8,3
8/20/2024,34,8,3
8/21/2024,34,8,3
8/22/2024,34,8,3
8/23/2024,35,8,3
8/24/2024,35,8,3
8/25/2024,35,8,3
8/26/2024,35,8,3
8/27/2024,35,8,3
8/28/2024,35,8,3
8/29/2024,35,8,3
8/30/2024,36,8,3
8/31/2024,36,8,3
09-01-24,36,9,3
09-02-24,36,9,3
09-03-24,36,9,3
09-04-24,36,9,3
09-05-24,36,9,3
09-06-24,37,9,3
09-07-24,37,9,3
09-08-24,37,9,3
09-09-24,37,9,3
09-10-24,37,9,3
09-11-24,37,9,3
09-12-24,37,9,3
9/13/2024,38,9,3
9/14/2024,38,9,3
9/15/2024,38,9,3
9/16/2024,38,9,3
9/17/2024,38,9,3
9/18/2024,38,9,3
9/19/2024,38,9,3
9/20/2024,39,9,3
9/21/2024,39,9,3
9/22/2024,39,9,3
9/23/2024,39,9,3
9/24/2024,39,9,3
9/25/2024,39,9,3
9/26/2024,39,9,3
9/27/2024,40,9,3
9/28/2024,40,9,3
9/29/2024,40,9,3
9/30/2024,40,9,3
