TRACK_ID,TRACK_NAME,ALBUM_ID,TRACK_RELEASE_DATE,TRACK_COVER
6xsEAm6w9oMQYYg3jkEkMT,Bad Blood,1Tv3rrFNdXGtTeP1plX2xE,2015-05-17,https://i.scdn.co/image/ab67616d0000b2737941dc6a3a023016acbe3d06
5Gd19NupVe5X8bAqxf9Iaz,Gorgeous,47JSuowYYz5j8w2AM6N8w6,2017-10-20,https://i.scdn.co/image/ab67616d0000b2730ee25608d7ab9bed0bd16f1b
2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,6DEjYFkNZh67HP7R9PSZvv,2017-11-10,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
71CBDRKmF2VeRKYMG1DFBh,Bigger Than The Whole Sky,1fnJ7k0bllNfL1kVdNVW1A,2023-05-26,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0
15DeqWWQB4dcEWzJg15VrN,Our Song,7mzrIsaAjnXihW3InKjlC3,2006-10-24,https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c
54fFi9Nqv49JStVsNZCfsZ,...Ready For It? - BloodPop® Remix,14Qw496KH0xlLEmWZ0faJj,2017-12-01,https://i.scdn.co/image/ab67616d0000b2737d343309258e82158dcc6eff
3xYJScVfxByb61dYHTwiby,Hits Different,1fnJ7k0bllNfL1kVdNVW1A,2023-05-26,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0
73YUReisjb3A9ActdLLjJQ,happiness,2Xoteh7uEpea4TohMxjtaq,2020-12-11,https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be
40PXEOFLJc7UIpLMrhSfW1,Babe,1MPAXuTVL2Ej5x0JHiSPq8,2017-11-09,https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918
1VPHQriwOsy5aGHLwwZyho,Call It What You Want - Karaoke Version,1MHuZZrGT36cXLxAQ5cLP3,2018-03-09,https://i.scdn.co/image/ab67616d0000b27305fd6906725e3f12544c2d04
6znB7YZhMJT2B83zfbiyLq,Haunted - Live/2011,6fyR4wBPwLHKcRtxgd4sGh,2010-10-25,https://i.scdn.co/image/ab67616d0000b273be4ec62353ee75fa11f6d6f7
