track_id,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
7G0gBu6nLdhFDPRLc0HdDG,0.00444,0.646,0.783,1.38e-06,-2.846,121.08,0.49
3MytWN8L7shNYzGl4tAKRp,0.0251,0.588,0.758,0,-2.347,114.991,0.387
79uDOz0zuuWS7HWxzMmTa2,0.00621,0.497,0.635,0,-3.927,142.063,0.203
5xXqyjLicvEpch72qEryFT,0.248,0.727,0.677,0,-2.871,118.995,0.639
1zU8j1x3yi9xalMF96pzKp,0.0236,0.419,0.47,0,-5.016,119.294,0.133
30Y4CV7A6YqtQtTTo7Ue4j,0.311,0.524,0.692,0,-3.866,163.874,0.621
6dTA6y0C2ReQklntzZl8l3,0.00192,0.515,0.781,0,-2.608,139.846,0.57
2EFZ9emtKWEglWUQGEQ3P9,0.851,0.685,0.323,0,-7.103,125.058,0.569
3sW3oSbzsfecv9XoUdGs7h,0.012,0.505,0.532,0,-3.526,81.907,0.216
0NwGC0v03ysCYINtg6ns58,0.000886,0.496,0.885,0,-2.969,145.863,0.665
12nBPF4Rh4XLFJV0YLN7uj,0.101,0.522,0.598,0,-5.327,133.627,0.149
4tMzIAFTFdqGBQLdfbPces,0.00667,0.427,0.915,0,-1.909,162.201,0.355
59KOoHFcw5XfICnO57holu,0.447,0.55,0.366,4.43e-06,-8.46,79.401,0.16
4hqJ4bSlYJOXb6Z4SRmzxs,0.0122,0.375,0.65,0,-4.031,203.89,0.0752
3yNJkriPzWjkkDAWHIAVUq,0.449,0.535,0.488,0,-8.261,159.813,0.348
4evLyY5Ue1Wesc61t2KXAU,0.0031,0.533,0.742,0,-3.473,131.93,0.356
4e3ZNTAV6PCrdYMUrUlMpQ,0.0164,0.547,0.855,0,-4.7,131.073,0.282
0zo975x58DlXbZllWvfYhg,0.159,0.474,0.763,0,-4.632,78.133,0.231
5kHMfzgLZP95O9NBy0ku4v,0.0586,0.694,0.764,0,-4.893,123.044,0.819
4ABYxlb92WBIjHu7TIKmml,0.362,0.576,0.57,0,-7.925,147.803,0.378
4s8BIKx4Zh6ryAEz8RTlaU,0.617,0.671,0.588,0,-4.675,96.965,0.543
1HCdems7PQZRj42QDWLA0A,0.3,0.624,0.585,0,-5.847,142.883,0.65
24emu3sabKISjRkrys28jq,0.236,0.735,0.454,0.00113,-10.516,97.043,0.0751
6qxvy9Pe4RJIq5JBVbbwbS,0.0609,0.65,0.397,1.4e-06,-8.237,108.055,0.0382
5qIHFdkW6phMsTZlN2g8Lc,0.115,0.637,0.649,1.22e-06,-6.59,96.935,0.497
7GA86Uo2jYbj8vIXe2nyWd,0.705,0.653,0.331,0.0013,-13.534,110.014,0.166
6PQOU00xWNrGwCZzboriXy,0.423,0.694,0.386,1.05e-05,-10.312,120.044,0.39
4eKMqf9ZMSclDX7V9Ptg7x,0.705,0.654,0.372,6.78e-05,-11.704,140.15,0.198
7oomkQSYf1ia2VnVEWfFIU,0.205,0.741,0.509,0,-8.747,108.978,0.113
0GKDhq6ZbmSbRHd3eyGlB7,0.157,0.867,0.272,3.42e-05,-11.014,79.962,0.157
0VpF6RLdCfPIeYRwMu4tZK,0.0648,0.695,0.546,0.000128,-9.184,164.0,0.425
4bBDkw2KBMX0tcgAaXC83Q,0.804,0.493,0.308,0.328,-15.489,109.993,0.13
45R112Jz5hQeKgITXgSXzs,0.0782,0.647,0.614,0,-7.091,90.034,0.0956
2L09RYwH5Pjzca6PmbUAw3,0.967,0.335,0.166,0.00012,-14.958,175.917,0.391
1QQii3pa5m8MEda0nbkjfw,0.545,0.661,0.345,0.000915,-14.037,125.977,0.126
2VuqMjgoKaOHNM8HpxtXKx,0.203,0.573,0.737,2.78e-05,-9.002,96.009,0.592
71CBDRKmF2VeRKYMG1DFBh,0.837,0.48,0.22,0.00269,-12.469,82.951,0.0633
5tWxKWq1DSP1s9WQ5PWuqu,0.116,0.691,0.498,3.07e-05,-10.519,110.963,0.454
1SztNGCwEHJEVFx90E5g7D,0.726,0.564,0.545,0,-10.17,176.082,0.766
7C0w28EsX0Um2FrZs9gso2,0.318,0.677,0.451,0,-9.744,140.845,0.399
4txojlesMFQZGWxwz2EeqB,0.435,0.482,0.837,0.00147,-6.501,157.96,0.534
10GRRCR5fctuOF4GFmATJI,0.497,0.475,0.386,0.00104,-12.038,107.601,0.162
3xYJScVfxByb61dYHTwiby,0.148,0.672,0.782,4.73e-06,-6.499,106.026,0.239
4zmKGsrXjLmljb5fTaBTot,0.806,0.664,0.401,3.5e-06,-10.934,109.846,0.315
4i6cwNY6oIUU2XZxPIw82Y,0.0623,0.615,0.616,0,-6.523,89.977,0.0734
4g2c7NoTWAOSYDy44l9nub,0.204,0.735,0.444,0.0012,-10.519,97.038,0.0984
199E1RRrVmVTQqBXih5qRC,0.0593,0.658,0.378,0,-8.3,108.034,0.0382
02Zkkf2zMkwRGQjZ7T4p8f,0.133,0.638,0.634,1.23e-06,-6.582,96.953,0.519
6ADDIJxxqzM9LMpm78yzQG,0.735,0.659,0.323,0.00321,-13.425,110.007,0.154
7gVWKBcfIW93YxNBi3ApIE,0.416,0.694,0.38,8.47e-06,-10.307,120.044,0.376
6Nl7KyvjkFncGsjB49SxLl,0.71,0.636,0.377,6.51e-05,-11.721,139.966,0.23
6C7OF1Jal7YkyjzyUG8vkK,0.226,0.751,0.502,0,-8.777,108.989,0.112
5yeuXkukVGuix3vmLu2BPJ,0.16,0.87,0.279,1.74e-05,-11.134,79.996,0.16
0jvo9CjnbR0lYUDTSNTMiu,0.0661,0.7,0.55,0.000102,-9.13,164.003,0.412
43q586vP8gGkYypKoSddhl,0.791,0.487,0.313,0.348,-15.434,110.039,0.141
5oqDgw5VGBln5dSIOPWyBq,0.074,0.649,0.622,0,-7.054,90.024,0.106
3zmwONxswBAzGwExPugSLN,0.967,0.334,0.161,4.71e-05,-14.875,176.747,0.396
56hioFjQ0DXrdn04hZcFgG,0.571,0.661,0.352,0.00147,-14.077,125.934,0.13
3UMrglJeju5yWyYIW6o99b,0.219,0.573,0.741,2.23e-05,-8.987,96.016,0.554
0BiqmkasE5FdrChwKfVp8X,0.826,0.422,0.235,0.00648,-12.379,165.71,0.068
7712gjoih4QoDbXpljEk21,0.112,0.7,0.509,3.27e-05,-10.547,110.947,0.345
5kiZGSxgqPdv6rbqL9THdd,0.723,0.646,0.529,0,-10.179,87.862,0.755
6wAFvJPpTZVirBKGZ4EnMW,0.361,0.675,0.466,0,-9.738,140.864,0.347
0aV5uARAknQgYhBaK944FP,0.43,0.483,0.84,0.000575,-6.508,157.979,0.55
3QF5RsWzK1lCvf2o2cY65P,0.481,0.562,0.388,0.00145,-12.088,107.747,0.159
5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,-10.489,96.985,0.0976
3eX0NZfLtGzoLUxPNvRfqm,0.0573,0.637,0.398,1.03e-06,-8.294,108.075,0.0374
0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,-6.571,97.008,0.533
1wtOxkiel43cVs0Yux5Q4h,0.69,0.663,0.319,0.000993,-13.481,109.957,0.193
4D7BCuvgdJlYvlX5WlN54t,0.401,0.696,0.396,5.2e-06,-10.289,120.041,0.38
3rWDp9tBPQR9z6U5YyRSK4,0.69,0.643,0.363,5.17e-05,-11.738,139.865,0.23
0heeNYlwOGuUSe7TgUD27B,0.2,0.751,0.502,0,-8.763,108.943,0.106
1xwAWUI6Dj0WGC3KiUPN0O,0.173,0.798,0.277,5.25e-05,-11.096,79.846,0.163
3qoftcUZaUOncvIYjFSPdE,0.0618,0.696,0.559,5.58e-05,-9.19,163.999,0.433
