ALBUM_ID,ALBUM_NAME,RELEASED_DATE,ALBUM_IMAGE_URL
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,2006-10-24,https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c
2dqn5yOQWdyGwOpOIi9O4x,Fearless,2008-11-11,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
5MfAxS5zz8MlfROjGQVXhy,Speak Now,2010-10-25,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015
4jTYApZPMapg56gRycOn0D,Red (Big Machine Radio Release Special),2012-10-22,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec
2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
4R3hKmiJWEjRe6l03DoV9t,1989 (Deluxe Edition),2014-10-27,https://i.scdn.co/image/ab67616d0000b2734c52d6feb46c899c9dc00745
34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27,https://i.scdn.co/image/ab67616d0000b273332d85510aba3eb28312cfb2
6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),2020-08-18,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233
0PZ7lAru5FDFHuirTkWe9Z,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,https://i.scdn.co/image/ab67616d0000b273045514e3ed4e1767a7c3ece5
2Xoteh7uEpea4TohMxjtaq,evermore,2020-12-11,https://i.scdn.co/image/ab67616d0000b27333b8541201f1ef38941024be
6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07,https://i.scdn.co/image/ab67616d0000b27390fd9741e1838115cd90b3b6
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,https://i.scdn.co/image/ab67616d0000b273a48964b5d9a3d6968ae3e0de
6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),2021-11-12,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2023-05-26,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0
3lS1y25WAhcqJDATJK70Mq,Midnights (3am Edition),2022-10-22,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949
