TRACK_ID,YESTERDAY_STREAM,TOTAL_STREAM,TODAY_STREAM
1p80LdxRV74UKvL8gnD7ky,864240,1588117187,1662001
55n9yjI6qqXh5F2mYvUc2y,373886,1492416888,719012
1BxfuPKGuaTgP7aM0Bbdwr,2001867,1313117739,4259293
5xTtaWoae3wi06K5WfVUUH,590913,1239809117,809470
0V3wPSX9ygBnCm8psDIegu,1085794,1220203789,1809657
1dGr1c8CrMLDpV6mPbImSI,755656,1053340319,1757340
4lIxdJw6W3Fg4vUIYCB0S5,953729,1021256242,1673209
4R2kfaDFhslZEMJqAFNpdd,859323,993670282,1534507
1P17dC1amhFzptugyAO7Il,357314,984125085,830963
59HjlYCeBsxdI0fcm3zglw,385806,863630229,602823
1R0a2iXumgCiFb7HEZ7gUE,1110018,843554504,1460550
6NFyWDv5CjfwuzoCkw47Xf,452192,828177420,922841
3hUxzQpSfdDqwM3ZTFQY0K,682139,824963715,1550316
6RRNNciQGZEXnqk8SQ9yv5,321133,814688543,526449
1vrd6UOGamcKNGnSHJQlSt,337014,800364989,503007
2Rk4JlNc2TPmZe2af99d45,172112,791719620,324741
6FB3v4YcR57y4tXFcdxI1E,228233,743049609,465783
10eBRyImhfqVvkiVEGf0N0,440157,705642620,637910
0lx2cLdOt3piJbcaXIV74f,384625,694310039,854723
5enxwA8aAbwZbf5qCHORXi,649977,677467012,970115
4pvb0WLRcMtbPGmtejJJ6y,513879,634910102,642349
0VwNdo84DaVYLIkbVO86ND,183910,618510977,274493
3RauEVgRgj1IuWdJ9fDs70,325363,606110884,793569
2yLa0QULdQr0qAIvVwN6B5,351057,579837500,688348
5jQI2r1RdgtuT8S3iG8zFC,406540,579455392,781808
3GCL1PydwsLodcpv0Ll1ch,229284,579410227,358257
7KokYm8cMIXCsGVmUvKtqf,348095,560336115,1122889
6YvqWjhGD8mB5QXcbcUKtx,528728,551205236,1124954
1K39ty6o1sHwwlZwO6a7wK,987367,540066727,1702357
273dCMFseLcVsoSWx59IoE,262513,535769040,386049
4y5bvROuBDPr5fuwXbIBZR,315323,528387005,670901
3rWDp9tBPQR9z6U5YyRSK4,312009,521763226,800025
0VE4kBnHJUgtMf0dy6DRmW,482115,519052552,803525
1ZY1PqizIl78geGM4xWlEA,230738,506887361,512752
0sY6ZUTh4yoctD8VIXz339,307701,490809027,715586
0Jlcvv8IykzHaSmj49uNW8,177234,469128336,571724
1qrpoAMXodY6895hGKoUpA,684598,467001252,1086665
4D7BCuvgdJlYvlX5WlN54t,600943,435998924,858490
2x0WlnmfG39ZuDmstl9xfX,275827,423178269,383094
3qoftcUZaUOncvIYjFSPdE,345675,407366653,677796
3eX0NZfLtGzoLUxPNvRfqm,302323,376340453,487618
1MgV7FIyNxIG7WzMRJV5HC,208445,370909869,579014
1wtOxkiel43cVs0Yux5Q4h,194056,368806200,380502
4svZDCRz4cJoneBpjpx8DJ,195809,362471172,416616
6ce41JVa6KFaryfmC2bu2W,110768,359327252,160534
3DrjZArsPsoqbLzUZZV1Id,142179,358320089,209088
22bPsP2jCgbLUvh82U0Z3M,319622,335575377,443920
0ZNU020wNYvgW84iljPkPP,296509,331444438,494182
1GwMQaZz6Au3QLDbjbMdme,295033,330105020,373460
1SymEzIT3H8UZfibCs3TYi,273225,310230244,401802
1xwAWUI6Dj0WGC3KiUPN0O,199453,309357709,511419
2CYVETnhM9aytqrazYYwrK,172062,308713495,374049
7kt9e9LFSpN1zQtYEl19o1,196756,308020987,437236
3pHkh7d0lzM2AldUtz2x37,249976,306306838,446386
5OndtwLGA9O6XHFcGm2H7r,84514,306303161,145715
43rA71bccXFGD4C8GOpIlN,151300,299652221,191520
2NmsngXHeC1GQ9wWrzhOMf,279869,298144145,538211
2Eeur20xVqfUoM3Q7EFPFt,303144,296358832,393694
6VsvKPJ4xjVNKpI8VVZ3SV,174884,289910660,406707
5kI4eCXXzyuIUXjQra0Cxi,187766,286723880,399504
15DeqWWQB4dcEWzJg15VrN,155516,279898260,330886
214nt20w5wOxJnY462klLw,250924,277652211,545487
1fzAuUVbzlhZ1lJAx9PtY6,437941,271853692,706358
1LLXZFeAHK9R4xUramtUKw,219719,271360161,332908
12M5uqx0ZuwkpLp5rJim1a,236396,268599325,347642
17yraMKqmZIKAv3iaGcoLX,281347,267348235,562694
7FmYn9e7KHMXcxqGSj9LjH,247830,266112176,442555
3Z1kZKYfRC8iRXnYeC5sCJ,37960,261852652,79085
6rZVy6FIG7lSJQMFXHo12z,86642,255493169,211322
0heeNYlwOGuUSe7TgUD27B,177527,253612867,264966
6AtZLIzUINvExIUy4QhdjP,252232,253123539,548332
6KJqZcs9XDgVck7Lg9QOTC,187563,250997987,341025
3i9UVldZOE0aD0JnyfAZZ0,130456,250594972,296491
6oVxXO5oQ4pTpO8RSnkzvv,149563,249053086,453223
3zwMVvkBe2qIKDObWgXw4N,168986,241757899,497020
2dgFqt3w9xIQRjhPtwNk3D,213526,240668389,280956
4yBEU0askBZzE2XEVdEwmx,23652,240112508,78843
5BK0uqwY9DNfZ630STAEaq,159447,240023740,289904
5YqltLsjdqFtvqE7Nrysvs,164378,237470853,530253
7HH8rEmkK5JENnv869MDCz,45675,235649811,69205
6qnM0XXPZOINWA778uNqQ9,95983,231035358,129708
3RaT22zZsxVYxxKR7TAaYF,114324,229896373,265871
2YWtcWi3a83pdEg3Gif4Pd,88161,229729284,251889
4OAuvHryIVv4kMDNSLuPt6,189793,227275081,351469
0PurA4JVJ8YQgSVopY8fn6,327920,226185676,520509
3UMrglJeju5yWyYIW6o99b,234777,223049838,317267
0z9UVN8VBHJ9HdfYsOuuNf,51615,221460640,73736
0wavGRldH0AWyu2zvTz8zb,181207,221068552,312427
0A1JLUlkZkp2EFrosoNQi0,142524,216904005,263934
5yEPktRqvIhko5QFF3aBhQ,48523,216716377,66471
7HuBDWi18s4aJM8UFnNheH,213119,216347334,308869
