TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1p80LdxRV74UKvL8gnD7ky,1588117187,0
55n9yjI6qqXh5F2mYvUc2y,1492416888,0
1BxfuPKGuaTgP7aM0Bbdwr,1313117739,0
5xTtaWoae3wi06K5WfVUUH,1239809117,0
0V3wPSX9ygBnCm8psDIegu,1220203789,0
1dGr1c8CrMLDpV6mPbImSI,1053340319,0
4lIxdJw6W3Fg4vUIYCB0S5,1021256242,0
4R2kfaDFhslZEMJqAFNpdd,993670282,0
1P17dC1amhFzptugyAO7Il,984125085,0
59HjlYCeBsxdI0fcm3zglw,863630229,0
1R0a2iXumgCiFb7HEZ7gUE,843554504,0
6NFyWDv5CjfwuzoCkw47Xf,828177420,0
3hUxzQpSfdDqwM3ZTFQY0K,824963715,0
6RRNNciQGZEXnqk8SQ9yv5,814688543,0
1vrd6UOGamcKNGnSHJQlSt,800364989,0
2Rk4JlNc2TPmZe2af99d45,791719620,0
6FB3v4YcR57y4tXFcdxI1E,743049609,0
10eBRyImhfqVvkiVEGf0N0,705642620,0
0lx2cLdOt3piJbcaXIV74f,694310039,0
5enxwA8aAbwZbf5qCHORXi,677467012,0
4pvb0WLRcMtbPGmtejJJ6y,634910102,0
0VwNdo84DaVYLIkbVO86ND,618510977,0
3RauEVgRgj1IuWdJ9fDs70,606110884,0
2yLa0QULdQr0qAIvVwN6B5,579837500,0
5jQI2r1RdgtuT8S3iG8zFC,579455392,0
3GCL1PydwsLodcpv0Ll1ch,579410227,0
7KokYm8cMIXCsGVmUvKtqf,560336115,0
6YvqWjhGD8mB5QXcbcUKtx,551205236,0
1K39ty6o1sHwwlZwO6a7wK,540066727,0
273dCMFseLcVsoSWx59IoE,535769040,0
4y5bvROuBDPr5fuwXbIBZR,528387005,0
3rWDp9tBPQR9z6U5YyRSK4,521763226,0
0VE4kBnHJUgtMf0dy6DRmW,519052552,0
1ZY1PqizIl78geGM4xWlEA,506887361,0
0sY6ZUTh4yoctD8VIXz339,490809027,0
0Jlcvv8IykzHaSmj49uNW8,469128336,0
1qrpoAMXodY6895hGKoUpA,467001252,0
4D7BCuvgdJlYvlX5WlN54t,435998924,0
2x0WlnmfG39ZuDmstl9xfX,423178269,0
3qoftcUZaUOncvIYjFSPdE,407366653,0
3eX0NZfLtGzoLUxPNvRfqm,376340453,0
1MgV7FIyNxIG7WzMRJV5HC,370909869,0
1wtOxkiel43cVs0Yux5Q4h,368806200,0
4svZDCRz4cJoneBpjpx8DJ,362471172,0
6ce41JVa6KFaryfmC2bu2W,359327252,0
3DrjZArsPsoqbLzUZZV1Id,358320089,0
22bPsP2jCgbLUvh82U0Z3M,335575377,0
0ZNU020wNYvgW84iljPkPP,331444438,0
1GwMQaZz6Au3QLDbjbMdme,330105020,0
1SymEzIT3H8UZfibCs3TYi,310230244,0
1xwAWUI6Dj0WGC3KiUPN0O,309357709,0
2CYVETnhM9aytqrazYYwrK,308713495,0
7kt9e9LFSpN1zQtYEl19o1,308020987,0
3pHkh7d0lzM2AldUtz2x37,306306838,0
5OndtwLGA9O6XHFcGm2H7r,306303161,0
43rA71bccXFGD4C8GOpIlN,299652221,0
2NmsngXHeC1GQ9wWrzhOMf,298144145,0
2Eeur20xVqfUoM3Q7EFPFt,296358832,0
6VsvKPJ4xjVNKpI8VVZ3SV,289910660,0
5kI4eCXXzyuIUXjQra0Cxi,286723880,0
15DeqWWQB4dcEWzJg15VrN,279898260,0
214nt20w5wOxJnY462klLw,277652211,0
1fzAuUVbzlhZ1lJAx9PtY6,271853692,0
1LLXZFeAHK9R4xUramtUKw,271360161,0
12M5uqx0ZuwkpLp5rJim1a,268599325,0
17yraMKqmZIKAv3iaGcoLX,267348235,0
7FmYn9e7KHMXcxqGSj9LjH,266112176,0
3Z1kZKYfRC8iRXnYeC5sCJ,261852652,0
6rZVy6FIG7lSJQMFXHo12z,255493169,0
0heeNYlwOGuUSe7TgUD27B,253612867,0
6AtZLIzUINvExIUy4QhdjP,253123539,0
6KJqZcs9XDgVck7Lg9QOTC,250997987,0
3i9UVldZOE0aD0JnyfAZZ0,250594972,0
6oVxXO5oQ4pTpO8RSnkzvv,249053086,0
3zwMVvkBe2qIKDObWgXw4N,241757899,0
2dgFqt3w9xIQRjhPtwNk3D,240668389,0
4yBEU0askBZzE2XEVdEwmx,240112508,0
5BK0uqwY9DNfZ630STAEaq,240023740,0
5YqltLsjdqFtvqE7Nrysvs,237470853,0
7HH8rEmkK5JENnv869MDCz,235649811,0
6qnM0XXPZOINWA778uNqQ9,231035358,0
3RaT22zZsxVYxxKR7TAaYF,229896373,0
2YWtcWi3a83pdEg3Gif4Pd,229729284,0
4OAuvHryIVv4kMDNSLuPt6,227275081,0
0PurA4JVJ8YQgSVopY8fn6,226185676,0
3UMrglJeju5yWyYIW6o99b,223049838,0
0z9UVN8VBHJ9HdfYsOuuNf,221460640,0
0wavGRldH0AWyu2zvTz8zb,221068552,0
0A1JLUlkZkp2EFrosoNQi0,216904005,0
5yEPktRqvIhko5QFF3aBhQ,216716377,0
7HuBDWi18s4aJM8UFnNheH,216347334,0
7dW84mWkdWE5a6lFWxJCBG,214422267,0
0aV5uARAknQgYhBaK944FP,212726553,0
0dBW6ZsW8skfvoRfgeerBF,211035983,0
0dAb8TY433dl3ZfXYCLE19,210422115,0
4wFUdSCer8bdQsrp1M90sa,208908769,0
3nsfB1vus2qaloUdcBZvDu,208618780,0
